Plate information 
Plate	Repeat	Barcode	Measured height	Chamber temperature at start	Chamber temperature at end	Humidity at start	Humidity at end	Ambient temperature at start	Ambient temperature at end	Measurement date	
1	1		14.48	19.27	19.21	20	19.8	19.76	19.6	1/11/2023 1:26:34 PM	


Background information
Plate	Label	Result	Signal	Flashes/Time	Meastime	MeasInfo	
1	LANCE Eu/APC Dual Updated	0	78	100	00:00:00.000	De=1st Ex=Top Em=Top Wdw=1 (14)	
1	LANCE Eu/APC Dual Updated	0	65	20	00:00:00.000	De=2nd Ex=Top Em=Top Wdw=1 (142)	

			PltRpt=1 Group=1 LANCE Eu/APC Dual Updated(1) De=1st Ex=Top Em=Top Wdw=1 (14)				PltRpt=1 Group=1 LANCE Eu/APC Dual Updated(1) De=2nd Ex=Top Em=Top Wdw=1 (142)					
Assay Started: 				1/11/2023 1:22:44 PM
Assay Finished: 				1/11/2023 1:26:46 PM
Assay Exported: 				1/27/2023 12:11:35 PM
Protocol ID: 				100100
Protocol Name: 				DELFIA Phage Assay
Serial#: 				1041097



Protocol information
Protocol:
Protocol name				DELFIA Phage Assay
Number of assay repeats				1
Start assay repeat each				N/A
Number of plate repeats				1
Start plate repeat each				N/A
Is label meas. height used				Yes
Height of measurement				Defined in label
Is gripper height used				No
Mode of measurement				By Rows, bi-directional
Rotated plate				No
Soft move				No
Protocol notes				 

Plate type:
Name of the plate type				384 General
Number of rows				16
Number of columns				24
Number of the wells in the plate				384
Height of the plate				14.35 mm

Coordinates of corners:
384 General
12.13 mm x------------------------------------------------------ x 115.63 mm
8.99 mm                                                            8.99 mm

12.13 mm x------------------------------------------------------ x 115.63 mm
76.49 mm                                                           76.49 mm

Platemap:
Plate				1
Group				1

	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
A	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
B	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
C	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
D	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
E	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
F	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
G	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
H	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
I	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
J	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
K	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
L	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
M	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
N	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
O	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
P	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 

 - - Undefined

Calculations:
No calculations.

Auto export parameters:
Export format				Plate2
Include basic assay information				Yes
Place assay information at				End of file
Include basic plate information				Yes
Place plate information at				Beginning of plate
Include protocol information				Yes
Protocol info level				Large
Include error and warning information				Yes
Include background information				Yes
Add plate number to the file name				Yes
Each plate to separate file				No
Field separator to use				System
File name format				<DefaultDataFolder>\<Date>\<ProtocolName>_<AssayID>.csv

Operations:
Plate 1
  Group 1
    Measurement
      Label				LANCE Eu/APC Dual Updated(1)

Labels:
LANCE Eu/APC Dual Updated				6500002
Light source				Flash lamp
Top mirror				LANCE/DELFIA
Bottom mirror				N/A
Exc. filter				UV2 (TRF) 320
Using of excitation filter				Top
Ems. filter				APC 665
Using of emission filter				Top
2nd ems. filter				Europium 615
Using of 2nd emission filter				Top
Measurement height				6.5 mm
Cycle				2000
Delay				60
Number of flashes				100
Number of flashes for 2nd detector				20
Number of sequence windows				1
Total time of windows				100
Excitation light				100%
Reference excitation light				100%
Reference AD gain				1
Reference signal				310107
Last edited				10/28/2022 3:54:37 PM
Last edited by				Installation
Factory preset				Yes

Filters:
UV2 (TRF) 320				111
Filter type				Excitation
Description				X320 CWL=320nm BW=75nm Tmin=70%
Used with				DELFIA - Time-resolved Fluorescence,Fluorescence Intensity,Fluorescence Polarization,LANCE - Time-resolved Fluorescence
Last edited				10/28/2022 3:54:37 PM
Last edited by				Installation
Factory preset				Yes

APC 665				205
Filter type				Emission
Description				M665 CWL=665nm BW=7,5nm Tmin=75%
Used with				DELFIA - Time-resolved Fluorescence,Fluorescence Intensity,Fluorescence Polarization,LANCE - Time-resolved FluorescenceLuminescence,DELFIA - Time-resolved Fluorescence,Fluorescence Intensity,LANCE - Time-resolved Fluorescence
Last edited				10/28/2022 3:54:37 PM
Last edited by				Installation
Factory preset				Yes

Europium 615				203
Filter type				Emission
Description				M615 CWL=615nm BW=8,5nm Tmin=80%
Used with				DELFIA - Time-resolved Fluorescence,Fluorescence Intensity,Fluorescence Polarization,LANCE - Time-resolved FluorescenceLuminescence,DELFIA - Time-resolved Fluorescence,Fluorescence Intensity,LANCE - Time-resolved FluorescenceLuminescence,Absorbance,DELFIA - Time-resolved Fluorescence,Fluorescence Intensity,LANCE - Time-resolved Fluorescence
Last edited				10/28/2022 3:54:37 PM
Last edited by				Installation
Factory preset				Yes

Mirror modules:
LANCE/DELFIA				412
Used by				Top
Dual				No
Bias				No
Description				D400
Used with				Luminescence,DELFIA - Time-resolved Fluorescence,Fluorescence Intensity,LANCE - Time-resolved Fluorescence
Last edited				10/28/2022 3:54:37 PM
Last edited by				Installation
Factory preset				Yes

Instrument:
Serial number				1041097
Nickname				EnVision

Normalization:



Assay notifications:
WARNING: Warning while loading plate. Stacker out of plates. Plate 1 Plate Repeat 1 Well P01

ERROR: Plate Unload failed. Plate 1 Plate Repeat 1 Well P01 Status 24837 Command 6105 Line XYTrackGoto

INFO: Assay aborted at plate 1, plate repeat 1 and well P01. There may be missing results



Exported with EnVision Workstation version 1.14.3049.1534
